Education,Education_Level,Total_Consumption,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
PhD,5,170,97,4,44,6,1,18
Master,4,373,67,11,26,4,3,262
PhD,5,1196,345,53,528,98,75,97
Graduation,3,101,6,5,17,3,24,46
Graduation,3,316,73,57,100,71,15,0
Graduation,3,1400,711,36,217,172,96,168
Graduation,3,1424,774,70,118,182,187,93
Master,4,844,163,0,480,0,126,75
Graduation,3,311,82,33,54,71,30,41
Graduation,3,1149,358,108,413,141,97,32
Master,4,129,66,2,40,4,3,14
Graduation,3,32,13,6,7,0,3,3
Graduation,3,299,139,13,78,20,13,36
Graduation,3,320,274,0,21,4,6,15
Master,4,441,262,6,61,0,10,102
Master,4,1178,1099,0,45,0,0,34
Graduation,3,85,32,0,8,23,4,18
Basic,1,24,2,4,2,0,11,5
Graduation,3,112,6,10,21,19,14,42
2n Cycle,2,30,6,7,4,3,4,6
PhD,5,410,135,46,92,65,61,11
Graduation,3,800,641,7,84,0,30,38
PhD,5,1313,714,76,395,116,0,12
PhD,5,1483,794,73,573,0,29,14
Graduation,3,1258,420,0,452,182,64,140
Graduation,3,28,1,2,7,4,3,11
Graduation,3,227,86,12,75,33,15,6
Graduation,3,1555,823,25,459,124,29,95
Graduation,3,861,231,161,215,171,30,53
Graduation,3,103,8,15,27,0,20,33
PhD,5,634,182,17,259,77,70,29
Graduation,3,1918,557,129,984,193,37,18
Master,4,131,79,1,31,4,4,12
Graduation,3,586,368,24,68,38,0,88
Basic,1,62,6,4,14,8,8,22
Graduation,3,447,160,15,196,15,11,50
2n Cycle,2,939,488,21,238,56,108,28
2n Cycle,2,797,691,7,69,0,7,23
Master,4,1143,543,10,205,160,143,82
Graduation,3,415,254,7,108,20,0,26
Graduation,3,30,5,4,10,2,2,7
Master,4,187,112,19,21,16,14,5
Graduation,3,251,134,11,59,15,2,30
Graduation,3,237,143,6,52,11,8,17
2n Cycle,2,91,51,4,24,4,7,1
Master,4,35,27,0,5,0,0,3
PhD,5,493,459,0,24,6,0,4
PhD,5,971,689,8,167,11,8,88
Graduation,3,371,283,10,38,0,13,27
Graduation,3,396,347,0,35,4,3,7
Graduation,3,68,5,13,14,0,5,31
Master,4,322,280,0,18,0,0,24
Master,4,317,187,5,65,26,20,14
Master,4,222,95,14,64,2,9,38
2n Cycle,2,177,84,10,34,11,10,28
Graduation,3,45,19,4,12,2,2,6
2n Cycle,2,21,5,1,9,2,0,4
Graduation,3,45,18,3,17,3,0,4
Graduation,3,1899,992,24,694,51,19,119
PhD,5,42,25,1,13,0,0,3
2n Cycle,2,22,9,1,7,0,3,2
Graduation,3,41,19,1,17,2,0,2
Graduation,3,1440,709,93,374,104,80,80
Master,4,325,158,0,76,13,7,71
Graduation,3,95,10,14,29,4,2,36
PhD,5,42,25,1,13,0,0,3
2n Cycle,2,72,8,4,12,15,4,29
PhD,5,20,14,0,6,0,0,0
Master,4,789,622,7,115,30,0,15
Graduation,3,15,11,0,3,0,0,1
Graduation,3,59,25,3,16,8,5,2
Master,4,908,635,15,100,20,7,131
PhD,5,417,100,64,79,65,0,109
Graduation,3,289,201,2,43,3,5,35
Graduation,3,769,642,14,49,0,7,57
Graduation,3,188,97,1,41,6,2,41
Graduation,3,354,204,5,39,17,0,89
Master,4,727,513,7,133,46,14,14
PhD,5,146,88,3,21,4,1,29
Master,4,319,172,12,112,8,0,15
Master,4,794,329,35,222,130,35,43
Graduation,3,454,296,13,104,11,13,17
PhD,5,152,100,2,16,2,1,31
PhD,5,797,422,7,238,69,46,15
Graduation,3,1690,1218,16,272,104,0,80
Master,4,20,5,1,7,2,1,4
Graduation,3,1428,507,93,520,242,40,26
Graduation,3,209,52,12,50,4,36,55
Graduation,3,545,191,56,139,51,8,100
Basic,1,96,2,23,11,8,6,46
Graduation,3,222,68,28,39,16,30,41
Graduation,3,61,20,4,10,6,4,17
Graduation,3,44,20,3,16,0,4,1
PhD,5,8,7,0,1,0,0,0
2n Cycle,2,817,279,172,74,38,8,246
Graduation,3,1371,977,12,253,16,12,101
PhD,5,42,30,1,8,0,0,3
Graduation,3,60,6,1,7,23,4,19
Graduation,3,78,3,18,26,11,8,12
PhD,5,23,14,0,2,0,0,7
PhD,5,19,10,1,7,0,0,1
2n Cycle,2,61,7,10,17,8,6,13
Graduation,3,449,33,87,64,175,16,74
Master,4,37,12,0,13,2,0,10
2n Cycle,2,38,2,3,10,11,2,10
Graduation,3,1131,693,21,118,110,147,42
Graduation,3,34,9,3,15,2,3,2
Graduation,3,294,129,26,67,3,67,2
2n Cycle,2,48,16,2,11,3,0,16
Graduation,3,289,201,2,43,3,5,35
2n Cycle,2,30,5,4,5,4,2,10
Graduation,3,125,14,36,11,3,26,35
Graduation,3,156,29,12,59,19,1,36
Graduation,3,70,26,2,19,10,5,8
Master,4,22,9,1,4,3,2,3
Graduation,3,65,14,0,23,4,5,19
Master,4,1930,972,19,595,180,26,138
Graduation,3,2283,966,168,672,246,105,126
Graduation,3,310,99,27,102,28,48,6
2n Cycle,2,1319,482,35,553,72,160,17
Graduation,3,879,714,8,99,11,0,47
PhD,5,1244,587,54,348,71,54,130
2n Cycle,2,690,399,27,159,58,8,39
Graduation,3,209,56,10,92,19,7,25
Graduation,3,1134,227,151,573,98,54,31
Graduation,3,1507,703,102,601,0,58,43
PhD,5,57,37,0,17,0,0,3
PhD,5,529,167,13,180,86,13,70
Graduation,3,1091,458,81,356,106,50,40
Graduation,3,180,91,3,52,2,1,31
Graduation,3,77,15,8,16,11,5,22
Graduation,3,2349,1302,68,731,89,114,45
PhD,5,534,153,64,123,116,64,14
Master,4,556,508,5,21,7,5,10
Graduation,3,637,290,59,177,77,5,29
PhD,5,46,38,0,2,0,0,6
Graduation,3,44,2,13,6,7,5,11
Master,4,47,30,0,10,2,0,5
Master,4,795,386,23,95,54,41,196
Graduation,3,586,443,10,75,0,10,48
Graduation,3,1574,901,31,345,75,31,191
PhD,5,13,9,0,3,0,0,1
Graduation,3,1471,846,84,352,91,56,42
2n Cycle,2,65,8,3,9,19,4,22
Graduation,3,175,72,7,58,13,1,24
Graduation,3,40,29,0,5,0,1,5
PhD,5,1078,169,24,553,188,0,144
Graduation,3,1115,460,35,422,33,12,153
Graduation,3,134,69,8,26,12,7,12
Master,4,1540,556,14,717,210,0,43
PhD,5,87,73,0,13,0,1,0
Master,4,217,112,1,54,7,7,36
PhD,5,1034,944,0,60,0,0,30
Graduation,3,1180,265,199,303,234,9,170
Graduation,3,819,526,28,135,10,21,99
2n Cycle,2,32,2,3,12,3,5,7
Graduation,3,46,2,4,9,10,5,16
2n Cycle,2,1159,378,97,259,197,194,34
Master,4,860,553,25,142,65,67,8
Master,4,1631,751,127,687,20,15,31
PhD,5,444,406,0,30,0,0,8
Graduation,3,1910,1449,89,161,69,35,107
Master,4,380,123,17,171,39,0,30
PhD,5,736,267,42,309,55,42,21
PhD,5,269,209,0,40,3,2,15
Graduation,3,2524,1259,172,815,97,148,33
Graduation,3,612,344,35,178,15,23,17
Graduation,3,75,22,3,30,0,5,15
Graduation,3,1045,247,161,295,210,85,47
Graduation,3,55,38,0,12,3,1,1
PhD,5,1064,896,10,101,13,10,34
Graduation,3,1443,931,56,253,91,98,14
Graduation,3,1366,758,12,385,33,89,89
Master,4,436,216,9,57,20,9,125
2n Cycle,2,38,2,3,10,11,2,10
Graduation,3,436,244,15,108,4,15,50
Master,4,747,539,6,91,8,6,97
PhD,5,1396,1181,26,120,17,13,39
Master,4,928,750,8,125,11,8,26
Master,4,642,306,5,109,21,109,92
2n Cycle,2,1048,350,104,189,197,151,57
PhD,5,943,331,197,170,58,152,35
Graduation,3,907,620,16,165,0,24,82
Graduation,3,1198,434,137,400,45,137,45
Master,4,120,57,0,27,0,0,36
Graduation,3,1658,811,76,428,99,137,107
Graduation,3,1638,423,42,706,73,197,197
2n Cycle,2,73,2,12,10,6,13,30
Graduation,3,275,60,51,87,6,20,51
Graduation,3,854,675,0,85,10,7,77
Graduation,3,78,30,8,12,8,8,12
Master,4,106,40,1,40,4,3,18
Graduation,3,106,3,17,26,20,1,39
PhD,5,1923,910,111,724,49,74,55
Graduation,3,1662,252,98,827,219,70,196
Graduation,3,84,34,6,21,11,4,8
PhD,5,48,19,3,19,3,1,3
Graduation,3,5,2,1,1,0,0,1
Graduation,3,733,490,0,184,10,28,21
PhD,5,1234,332,194,377,149,125,57
Graduation,3,112,53,8,17,13,0,21
PhD,5,1658,784,48,560,42,176,48
Graduation,3,55,7,11,3,10,4,20
2n Cycle,2,1513,1171,43,219,19,14,47
2n Cycle,2,271,215,7,33,3,0,13
PhD,5,904,674,62,134,0,26,8
Master,4,120,57,0,27,0,0,36
2n Cycle,2,103,5,36,7,0,10,45
2n Cycle,2,269,104,20,101,24,15,5
Graduation,3,22,9,0,7,2,0,4
PhD,5,1156,431,82,441,80,20,102
PhD,5,1086,1000,0,76,0,0,10
Master,4,1128,448,40,469,80,0,91
Graduation,3,72,33,4,24,4,2,5
Master,4,964,505,72,270,36,27,54
Graduation,3,1383,267,38,701,149,165,63
PhD,5,18,14,0,3,0,0,1
Graduation,3,793,631,0,115,10,7,30
Master,4,100,65,4,16,0,4,11
2n Cycle,2,80,10,12,12,25,1,20
Graduation,3,167,51,4,50,12,1,49
Graduation,3,677,293,35,179,46,59,65
2n Cycle,2,23,11,1,2,2,1,6
Master,4,92,50,1,27,6,7,1
2n Cycle,2,641,173,26,255,35,71,81
Graduation,3,1106,423,184,368,13,97,21
Graduation,3,1033,292,30,415,63,33,200
Graduation,3,1174,757,80,217,29,80,11
Master,4,25,12,1,6,0,1,5
Master,4,240,167,2,44,6,2,19
Graduation,3,20,3,1,3,8,0,5
Graduation,3,102,30,5,22,8,9,28
PhD,5,1034,532,88,168,69,44,133
Graduation,3,156,29,12,59,19,1,36
Master,4,458,411,0,26,0,0,21
Graduation,3,17,5,3,4,4,1,0
Graduation,3,792,71,99,278,185,121,38
Graduation,3,92,46,0,40,3,0,3
Graduation,3,407,268,11,88,15,3,22
Master,4,1269,928,63,254,0,12,12
Graduation,3,841,459,15,171,142,23,31
PhD,5,633,483,0,108,0,6,36
PhD,5,1019,733,9,180,12,19,66
PhD,5,1315,1006,22,115,59,68,45
Graduation,3,54,34,1,14,0,0,5
Master,4,2525,1156,120,915,94,144,96
Master,4,52,7,4,23,7,0,11
Graduation,3,436,244,15,108,4,15,50
PhD,5,268,233,0,23,0,0,12
Graduation,3,147,35,3,67,10,8,24
PhD,5,1798,1252,0,465,46,35,0
Graduation,3,137,34,4,66,3,10,20
Master,4,507,255,43,134,37,14,24
Graduation,3,15,8,1,5,0,0,1
Master,4,1105,368,32,639,13,43,10
Graduation,3,974,255,47,573,52,32,15
Master,4,66,33,8,10,2,10,3
Graduation,3,778,163,23,424,27,65,76
PhD,5,49,15,0,8,4,2,20
Master,4,169,45,12,52,25,22,13
Graduation,3,299,48,58,68,16,66,43
Graduation,3,221,158,6,45,8,2,2
Graduation,3,1682,754,160,625,63,32,48
PhD,5,155,108,1,28,13,1,4
Graduation,3,892,199,66,315,97,174,41
Basic,1,58,2,7,5,2,15,27
Master,4,311,202,5,74,11,5,14
PhD,5,95,85,0,3,0,0,7
PhD,5,424,322,3,50,4,3,42
Master,4,47,18,2,19,0,2,6
Graduation,3,339,141,8,129,3,11,47
Graduation,3,1410,739,107,309,140,80,35
PhD,5,35,18,0,6,3,3,5
Master,4,562,378,0,88,19,4,73
Master,4,2352,1083,108,649,253,151,108
Master,4,1334,1016,12,215,16,12,63
Graduation,3,32,23,1,6,0,0,2
Graduation,3,41,12,1,21,2,2,3
PhD,5,39,35,0,4,0,0,0
Graduation,3,1141,548,31,422,0,112,28
2n Cycle,2,710,342,32,230,34,32,40
Master,4,401,365,3,15,4,3,11
PhD,5,506,397,19,69,12,0,9
Graduation,3,1538,456,19,832,75,118,38
2n Cycle,2,57,5,6,15,11,7,13
Graduation,3,1722,836,185,575,24,25,77
Graduation,3,270,100,2,128,23,7,10
Graduation,3,31,10,0,10,3,1,7
Graduation,3,882,238,115,215,169,69,76
Graduation,3,16,6,0,5,2,1,2
Graduation,3,311,158,11,99,15,11,17
Graduation,3,227,86,12,75,33,15,6
Master,4,1152,856,0,76,12,9,199
PhD,5,122,98,1,17,0,1,5
Graduation,3,77,4,16,20,0,17,20
2n Cycle,2,1289,398,96,447,220,96,32
Graduation,3,561,313,8,104,6,4,126
Graduation,3,211,109,18,16,24,26,18
PhD,5,233,216,2,6,0,0,9
PhD,5,1092,595,71,153,120,112,41
PhD,5,601,123,133,142,71,44,88
Graduation,3,54,16,0,23,3,2,10
2n Cycle,2,78,11,12,35,3,5,12
PhD,5,1095,410,112,420,0,82,71
PhD,5,244,159,2,51,6,2,24
PhD,5,116,105,0,10,0,1,0
Graduation,3,15,5,1,8,0,0,1
PhD,5,425,269,15,69,15,19,38
PhD,5,734,629,0,70,0,0,35
Graduation,3,638,443,5,71,21,16,82
Graduation,3,894,217,77,373,111,23,93
Graduation,3,41,24,1,10,2,0,4
Master,4,31,9,1,5,4,5,7
Master,4,34,8,0,14,2,3,7
PhD,5,1750,1459,0,61,0,15,215
Graduation,3,612,230,48,214,13,32,75
Basic,1,29,1,3,6,10,0,9
2n Cycle,2,823,340,21,134,258,14,56
Master,4,20,7,1,6,0,3,3
Master,4,396,298,7,68,4,0,19
Graduation,3,813,479,35,179,28,7,85
Graduation,3,1179,267,140,599,34,12,127
PhD,5,138,67,4,32,17,2,16
Graduation,3,55,3,1,8,23,2,18
Graduation,3,1511,980,37,265,35,163,31
Graduation,3,117,50,4,28,6,3,26
Graduation,3,1730,1,0,1725,2,1,1
PhD,5,32,19,0,5,0,0,8
Master,4,67,30,5,23,4,1,4
Master,4,335,213,9,76,4,3,30
PhD,5,825,539,30,92,80,46,38
2n Cycle,2,694,284,16,160,84,16,134
Graduation,3,1792,1003,34,536,134,51,34
PhD,5,496,239,13,143,45,4,52
Graduation,3,231,51,23,82,33,0,42
Graduation,3,902,527,24,230,32,24,65
Graduation,3,68,19,5,12,10,3,19
PhD,5,71,40,2,15,8,0,6
2n Cycle,2,76,21,8,20,15,3,9
PhD,5,772,593,30,91,29,22,7
PhD,5,47,21,5,3,10,1,7
PhD,5,1586,1181,107,199,39,30,30
PhD,5,1529,1004,59,265,115,59,27
PhD,5,265,202,2,46,3,2,10
Graduation,3,1603,446,107,768,33,196,53
Master,4,2091,1184,102,673,52,40,40
2n Cycle,2,981,390,22,323,104,35,107
Graduation,3,1533,726,53,363,123,107,161
2n Cycle,2,82,8,8,22,24,11,9
Graduation,3,244,50,15,110,39,15,15
Basic,1,36,1,1,4,11,9,10
PhD,5,404,308,0,73,0,0,23
Graduation,3,71,22,2,31,7,4,5
Graduation,3,1572,690,117,499,76,102,88
Graduation,3,122,43,5,28,7,6,33
PhD,5,41,27,0,10,0,0,4
PhD,5,10,6,0,3,0,0,1
Graduation,3,304,205,7,41,3,2,46
Graduation,3,37,24,0,8,0,1,4
Master,4,1754,667,50,850,21,83,83
Graduation,3,815,691,7,61,10,0,46
Graduation,3,1001,493,26,206,116,80,80
Graduation,3,1157,493,70,324,146,40,84
Graduation,3,688,494,5,82,7,0,100
Master,4,1319,621,73,414,78,48,85
PhD,5,21,9,0,5,0,0,7
2n Cycle,2,31,1,6,2,8,2,12
Graduation,3,67,12,4,19,12,6,14
Graduation,3,708,243,131,217,85,6,26
2n Cycle,2,25,11,1,4,2,0,7
PhD,5,746,532,21,127,26,20,20
PhD,5,32,29,0,2,0,0,1
Master,4,1695,612,91,520,258,107,107
Graduation,3,1080,387,126,342,0,45,180
Master,4,72,56,0,14,0,0,2
Graduation,3,57,6,8,19,16,4,4
PhD,5,660,582,0,65,0,0,13
Basic,1,103,6,17,16,6,16,42
PhD,5,153,70,6,69,2,3,3
Master,4,1220,962,12,194,16,24,12
Graduation,3,279,112,10,107,30,0,20
Graduation,3,745,293,0,124,179,97,52
PhD,5,264,199,12,31,3,12,7
Graduation,3,2157,1060,61,835,80,20,101
Master,4,1526,940,44,396,0,88,58
Graduation,3,69,44,2,11,2,3,7
Graduation,3,1597,342,51,936,207,35,26
Basic,1,64,2,10,11,12,9,20
Graduation,3,497,75,12,141,43,39,187
Graduation,3,1067,520,20,367,39,81,40
Graduation,3,31,5,3,9,6,2,6
Graduation,3,211,87,5,71,7,12,29
PhD,5,877,462,61,184,10,53,107
Graduation,3,11,2,2,1,3,1,2
PhD,5,2034,979,44,935,29,25,22
Graduation,3,1991,704,129,853,120,74,111
PhD,5,1686,861,31,558,62,95,79
PhD,5,324,172,3,115,16,0,18
Master,4,69,5,7,31,15,4,7
Graduation,3,252,194,2,56,0,0,0
Basic,1,54,9,7,13,3,2,20
Master,4,964,505,72,270,36,27,54
Graduation,3,1327,533,10,217,198,174,195
PhD,5,68,48,0,14,0,0,6
Graduation,3,60,6,1,7,23,4,19
Graduation,3,55,18,2,10,0,0,25
Graduation,3,1456,482,147,509,104,107,107
2n Cycle,2,563,204,97,97,21,118,26
Graduation,3,1504,1073,0,250,153,14,14
Graduation,3,564,245,16,223,21,43,16
Graduation,3,1125,560,21,442,29,44,29
Graduation,3,358,173,13,131,32,3,6
PhD,5,42,22,1,11,0,5,3
Graduation,3,184,136,1,12,0,3,32
Graduation,3,460,275,0,86,10,23,66
PhD,5,145,56,19,29,2,14,25
Graduation,3,1376,303,23,751,82,26,191
PhD,5,792,708,7,62,0,0,15
Graduation,3,1382,324,132,693,27,118,88
Basic,1,28,1,5,3,7,4,8
Master,4,1033,620,26,195,34,17,141
Graduation,3,882,312,21,206,102,92,149
PhD,5,2231,1493,86,454,112,43,43
PhD,5,1101,918,21,118,13,10,21
Graduation,3,369,98,0,106,49,10,106
2n Cycle,2,48,3,4,7,15,8,11
PhD,5,467,380,0,47,6,0,34
Graduation,3,44,15,0,12,7,3,7
Basic,1,38,3,9,4,7,8,7
Graduation,3,81,24,2,23,0,8,24
Master,4,167,80,1,60,4,6,16
PhD,5,45,31,0,6,2,1,5
Graduation,3,664,138,120,204,16,126,60
2n Cycle,2,622,166,75,96,119,107,59
2n Cycle,2,48,12,3,8,8,0,17
Graduation,3,461,178,3,85,71,66,58
Graduation,3,1073,707,20,171,65,60,50
2n Cycle,2,55,5,1,7,17,14,11
Graduation,3,976,465,71,250,93,35,62
PhD,5,20,16,1,2,0,0,1
Graduation,3,1149,358,108,413,141,97,32
Basic,1,43,1,9,7,2,14,10
Master,4,224,123,1,26,2,0,72
PhD,5,101,40,3,30,10,7,11
PhD,5,209,102,9,63,2,9,24
Graduation,3,968,347,44,534,17,0,26
PhD,5,1165,376,53,462,168,53,53
Graduation,3,24,21,0,3,0,0,0
Graduation,3,252,194,2,56,0,0,0
Graduation,3,165,64,4,68,7,5,17
PhD,5,269,206,0,46,3,2,12
PhD,5,102,71,0,18,0,0,13
2n Cycle,2,461,71,22,112,138,89,29
Basic,1,47,0,4,7,11,10,15
PhD,5,144,93,1,21,0,4,25
Graduation,3,1338,920,138,168,36,46,30
Graduation,3,917,653,17,170,34,26,17
Graduation,3,318,199,33,60,8,3,15
Graduation,3,253,153,4,56,0,9,31
Graduation,3,502,376,0,38,11,8,69
Graduation,3,119,46,0,30,12,1,30
2n Cycle,2,1250,600,21,128,223,150,128
Graduation,3,969,425,115,292,23,35,79
Graduation,3,76,18,6,15,12,8,17
PhD,5,62,52,0,9,0,0,1
2n Cycle,2,1382,734,22,350,151,25,100
Graduation,3,84,34,6,21,11,4,8
Graduation,3,255,135,1,41,10,1,67
Master,4,43,11,0,10,0,2,20
Graduation,3,398,163,48,90,0,45,52
Master,4,76,29,3,30,3,2,9
Graduation,3,902,734,26,70,11,44,17
2n Cycle,2,823,340,21,134,258,14,56
Graduation,3,1179,453,38,279,188,38,183
Graduation,3,1921,1073,0,629,145,37,37
Master,4,185,135,0,10,0,4,36
Graduation,3,433,231,7,137,4,15,39
Graduation,3,34,18,0,5,0,0,11
Graduation,3,907,620,16,165,0,24,82
PhD,5,416,81,4,33,5,2,291
Graduation,3,44,12,4,2,10,6,10
Graduation,3,1588,292,51,981,224,23,17
PhD,5,1797,965,34,586,89,86,37
Graduation,3,40,27,2,10,0,0,1
PhD,5,1143,777,30,163,0,51,122
Master,4,914,572,8,232,23,62,17
Graduation,3,1502,438,169,565,91,169,70
Graduation,3,1338,531,69,300,150,138,150
PhD,5,27,17,0,9,0,0,1
2n Cycle,2,763,402,35,106,101,77,42
Graduation,3,1331,503,27,419,90,139,153
Graduation,3,525,369,9,87,12,14,34
PhD,5,9,5,0,3,0,0,1
Graduation,3,953,362,17,398,80,35,61
Master,4,68,56,0,9,0,0,3
Master,4,131,79,1,31,4,4,12
Graduation,3,882,387,84,141,73,35,162
2n Cycle,2,1149,367,17,241,104,188,232
Graduation,3,37,15,0,11,0,2,9
PhD,5,388,267,6,54,8,3,50
Graduation,3,1428,298,27,697,216,24,166
Master,4,1633,674,92,736,39,0,92
Master,4,173,16,14,36,37,22,48
Graduation,3,99,37,4,24,16,9,9
Graduation,3,215,159,0,22,2,1,31
PhD,5,929,686,17,142,23,26,35
Graduation,3,219,97,3,66,12,7,34
Graduation,3,174,63,6,57,13,13,22
Graduation,3,92,56,5,24,4,0,3
PhD,5,1052,209,19,456,160,142,66
Graduation,3,275,198,2,43,0,12,20
2n Cycle,2,587,313,15,47,20,0,192
PhD,5,1662,941,14,397,76,58,176
PhD,5,159,86,4,56,2,4,7
Master,4,1024,167,48,602,63,72,72
Master,4,35,8,3,19,0,2,3
Master,4,1042,389,66,408,37,57,85
Master,4,395,239,7,119,4,15,11
PhD,5,557,179,21,273,0,21,63
PhD,5,9,5,0,1,1,1,1
Graduation,3,69,2,6,28,13,4,16
PhD,5,486,383,0,53,6,4,40
Graduation,3,34,2,8,8,6,1,9
2n Cycle,2,1365,536,27,590,38,107,67
Graduation,3,13,2,1,4,3,1,2
PhD,5,1401,322,53,899,34,40,53
Graduation,3,1574,539,169,816,20,0,30
PhD,5,1323,712,50,420,65,38,38
Master,4,1217,1121,0,72,0,12,12
Master,4,103,68,1,13,3,5,13
Master,4,84,36,4,18,6,2,18
PhD,5,1536,707,44,603,95,58,29
Graduation,3,581,174,77,203,6,24,97
PhD,5,928,666,35,124,69,8,26
2n Cycle,2,14,0,0,0,6,2,6
Graduation,3,424,162,50,100,55,30,27
Graduation,3,960,407,70,239,103,88,53
Graduation,3,1555,823,25,459,124,29,95
Graduation,3,656,488,23,71,15,0,59
Master,4,55,28,0,13,4,2,8
Graduation,3,20,3,2,10,3,0,2
Master,4,367,284,0,52,8,3,20
2n Cycle,2,2257,938,142,754,159,81,183
PhD,5,42,13,2,15,2,2,8
Graduation,3,1049,412,172,153,150,105,57
Graduation,3,48,31,1,8,0,0,8
PhD,5,685,502,19,132,0,6,26
Graduation,3,39,18,10,3,3,5,0
2n Cycle,2,43,1,8,6,4,8,16
Master,4,835,100,71,243,108,94,219
Graduation,3,1515,407,114,445,181,165,203
PhD,5,1039,664,9,240,50,19,57
Graduation,3,1596,1045,61,338,60,46,46
PhD,5,1828,1218,107,304,23,143,33
PhD,5,34,15,0,6,0,1,12
PhD,5,149,128,0,16,0,1,4
Master,4,946,581,49,157,43,8,108
PhD,5,28,6,3,12,6,1,0
Graduation,3,450,185,8,133,56,56,12
PhD,5,46,22,1,9,0,0,14
PhD,5,1702,584,100,835,65,83,35
Graduation,3,820,355,30,177,90,138,30
Graduation,3,382,175,10,110,54,6,27
PhD,5,2126,864,134,768,150,38,172
Master,4,2069,957,153,612,99,95,153
Graduation,3,72,25,6,16,20,0,5
Graduation,3,732,641,7,56,0,0,28
Graduation,3,801,273,86,208,177,14,43
Graduation,3,236,122,21,43,25,10,15
Basic,1,80,1,4,10,29,0,36
PhD,5,1685,1020,31,430,62,63,79
PhD,5,277,6,2,3,1,262,3
PhD,5,507,378,14,68,19,14,14
PhD,5,68,42,1,18,3,0,4
Graduation,3,49,15,5,14,0,4,11
Master,4,397,272,7,80,20,7,11
Graduation,3,39,9,1,24,2,1,2
Graduation,3,306,279,0,18,0,0,9
Graduation,3,976,398,61,265,138,61,53
PhD,5,1028,637,47,237,12,19,76
Graduation,3,70,45,0,16,2,1,6
Graduation,3,46,21,1,9,7,3,5
Master,4,51,15,4,13,0,0,19
2n Cycle,2,1263,493,183,352,184,23,28
Graduation,3,1490,957,40,175,158,53,107
Master,4,1564,829,138,430,60,92,15
Graduation,3,1815,1017,50,500,65,50,133
PhD,5,1198,953,0,71,0,0,174
Graduation,3,416,159,0,120,0,0,137
Graduation,3,85,32,0,8,23,4,18
PhD,5,47,23,0,15,0,2,7
Graduation,3,137,18,42,24,15,20,18
PhD,5,21,15,0,4,0,0,2
2n Cycle,2,70,23,4,5,10,5,23
2n Cycle,2,909,200,193,100,46,185,185
Graduation,3,1676,1324,27,119,71,108,27
Master,4,1735,1193,33,281,129,66,33
Graduation,3,1191,505,137,401,104,22,22
Master,4,24,2,4,9,0,4,5
PhD,5,1182,1103,0,45,0,0,34
Graduation,3,1280,353,61,753,40,46,27
Graduation,3,1336,652,48,350,94,84,108
Master,4,749,379,6,157,25,91,91
PhD,5,91,46,4,36,2,2,1
PhD,5,414,162,31,127,8,17,69
Master,4,44,8,3,19,3,3,8
Master,4,63,17,3,18,3,4,18
Graduation,3,901,340,108,185,130,38,100
2n Cycle,2,38,8,4,15,3,5,3
PhD,5,455,154,22,202,39,30,8
PhD,5,775,710,15,30,20,0,0
Master,4,15,8,2,4,0,0,1
Graduation,3,38,2,2,4,13,13,4
PhD,5,1512,1050,14,322,0,14,112
Graduation,3,43,19,1,14,3,2,4
Graduation,3,42,22,0,6,6,2,6
Graduation,3,1089,274,83,216,151,141,224
Master,4,162,68,6,38,3,6,41
Graduation,3,1272,344,45,654,104,11,114
Graduation,3,1173,145,193,459,205,26,145
Master,4,816,217,38,350,111,85,15
Graduation,3,74,18,7,34,10,2,3
Graduation,3,134,69,8,26,12,7,12
PhD,5,157,144,0,7,0,0,6
Graduation,3,561,256,34,103,90,29,49
Graduation,3,1336,483,72,567,94,12,108
PhD,5,2092,1285,105,653,28,21,0
PhD,5,463,338,4,89,11,8,13
PhD,5,1130,605,10,345,84,54,32
Graduation,3,20,8,0,7,3,1,1
Graduation,3,377,172,41,86,45,6,27
Graduation,3,1544,448,71,951,40,17,17
PhD,5,138,67,4,32,17,2,16
Master,4,1012,512,53,98,81,179,89
PhD,5,1766,1462,16,128,0,0,160
Graduation,3,45,20,0,14,7,3,1
Graduation,3,161,50,4,44,10,10,43
Graduation,3,144,102,1,15,2,0,24
Graduation,3,1734,499,149,815,173,49,49
Graduation,3,823,381,35,172,56,86,93
Graduation,3,1138,631,43,239,128,76,21
Graduation,3,1429,526,80,553,123,94,53
Master,4,1371,913,26,376,17,26,13
Graduation,3,982,673,0,199,37,47,26
Graduation,3,44,23,0,9,0,0,12
Graduation,3,318,199,33,60,8,3,15
Graduation,3,434,261,23,73,4,23,50
2n Cycle,2,198,111,16,37,7,9,18
Graduation,3,359,16,4,12,2,4,321
2n Cycle,2,576,63,151,137,153,19,53
PhD,5,88,58,0,18,2,0,10
Graduation,3,63,29,1,17,0,3,13
Master,4,27,3,2,12,0,1,9
Graduation,3,193,28,34,62,11,14,44
PhD,5,101,40,3,30,10,7,11
Graduation,3,2211,879,143,797,106,143,143
Master,4,140,62,1,44,6,5,22
Graduation,3,415,280,7,81,20,0,27
Graduation,3,22,9,0,6,3,1,3
Graduation,3,263,182,4,33,0,2,42
Graduation,3,393,83,2,101,64,26,117
Graduation,3,147,38,15,54,3,8,29
Graduation,3,443,228,19,130,4,11,51
PhD,5,1958,1092,37,592,145,37,55
Master,4,174,85,15,27,13,13,21
Master,4,2217,1276,24,746,94,29,48
